variable;variable_old;item;text;info
sys_RespNum;sys_RespNum;NA;1;2
Gender;Gender;NA;2;2
age;age;NA;26;58
education;education;NA;6;3
job;job;NA;4;6
KUT_r1;KUT_r1;NA;4;3
KUT_r2;KUT_r2;NA;1;3
KUT_r3;KUT_r3;NA;5;2
KUT_r4;KUT_r4;NA;6;2
KUT_r5;KUT_r5;NA;1;3
KUT_r6;KUT_r6;NA;5;2
KUT_r7;KUT_r7;NA;3;4
KUT_r8;KUT_r8;NA;2;4
Gaais_r1;Gaais_r1;NA;5;2
Gaais_r2;Gaais_r2;NA;2;4
Gaais_r3;Gaais_r3;NA;2;3
Gaais_r4;Gaais_r4;NA;6;3
Gaais_r5;Gaais_r5;NA;5;3
Gaais_r6;Gaais_r6;NA;2;4
Gaais_r7;Gaais_r7;NA;5;4
Gaais_r8;Gaais_r8;NA;3;4
Gaais_r9;Gaais_r9;NA;5;1
Gaais_r10;Gaais_r10;NA;3;4
CBC_Random1;CBC_Random1;NA;1;3
CBC_Random2;CBC_Random2;NA;2;1
CBC_Random3;CBC_Random3;NA;2;3
CBC_Random4;CBC_Random4;NA;1;1
CBC_Random5;CBC_Random5;NA;1;2
CBC_Random6;CBC_Random6;NA;1;3
CBC_Random7;CBC_Random7;NA;2;1
CBC_Random8;CBC_Random8;NA;3;3
CBC_Random9;CBC_Random9;NA;2;3
CBC_Random10;CBC_Random10;NA;3;1
CBC_Random11;CBC_Random11;NA;2;2
CBC_Random12;CBC_Random12;NA;2;1
