"","RespNum","gender","age","education","jobtype","KUT","GAAIS"
"1",1,"weiblich",26,"Fach- oder Hochschulabschluss","Angestellte*r",5.125,4.7
"2",2,"weiblich",58,"Mittlere Reife/Realschulabschluss","Hausfrau/Hausmann",2.875,3.3
"3",4,"weiblich",25,"Fach- oder Hochschulabschluss","Angestellte*r",3.875,3.5
"4",7,"weiblich",25,"Fach- oder Hochschulabschluss","Student*in",3.75,4
"5",8,"maennlich",19,"Mittlere Reife/Realschulabschluss","Schueler*in",4.5,4.3
"6",9,"maennlich",25,"Fach-/Allgemeine Hochschulreife","Zurzeit arbeitssuchend",4.375,2.4
"7",11,"weiblich",22,"Fach- oder Hochschulabschluss","Student*in",4.625,3.5
"8",12,"maennlich",26,"Fach- oder Hochschulabschluss","Angestellte*r",5.125,4.8
"9",13,"maennlich",24,"Fach- oder Hochschulabschluss","Angestellte*r",5.375,5
"10",14,"weiblich",58,"Fach- oder Hochschulabschluss","Angestellte*r",4.875,4
"11",16,"maennlich",25,"Fach- oder Hochschulabschluss","Student*in",2.875,4.7
"12",17,"maennlich",26,"Fach- oder Hochschulabschluss","Angestellte*r",4.375,4
"13",18,"maennlich",25,"Fach- oder Hochschulabschluss","Student*in",4.75,4.1
"14",20,"maennlich",26,"Fach- oder Hochschulabschluss","Angestellte*r",4.75,3.6
"15",21,"maennlich",60,"Fach-/Allgemeine Hochschulreife","Hausfrau/Hausmann",3.75,3.7
"16",22,"maennlich",59,"Fach- oder Hochschulabschluss","Angestellte*r",4.125,3.1
"17",23,"weiblich",25,"Fach- oder Hochschulabschluss","Student*in",4.875,4.7
"18",24,"weiblich",26,"Fach- oder Hochschulabschluss","Student*in",5.5,5.4
"19",25,"weiblich",24,"Fach- oder Hochschulabschluss","Student*in",3.5,3.5
"20",26,"weiblich",26,"Fach- oder Hochschulabschluss","Angestellte*r",3.5,4.4
"21",27,"weiblich",29,"Fach- oder Hochschulabschluss","Angestellte*r",4.75,4.4
"22",28,"maennlich",28,"Fach- oder Hochschulabschluss","Angestellte*r",5.5,4.6
"23",30,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",6,4.3
"24",31,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",4.25,3.4
"25",32,"maennlich",24,"Fach- oder Hochschulabschluss","Student*in",4.875,4.4
"26",35,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",5.75,4.8
"27",37,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",3,3.7
"28",40,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",3.5,3.4
"29",42,"maennlich",23,"Fach-/Allgemeine Hochschulreife","Angestellte*r",4.875,3.6
"30",44,"weiblich",23,"Fach- oder Hochschulabschluss","Angestellte*r",4.5,4.3
"31",45,"weiblich",23,"Fach- oder Hochschulabschluss","Angestellte*r",4.625,4.5
"32",46,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",4.75,4.1
"33",47,"maennlich",26,"Fach- oder Hochschulabschluss","Student*in",3.5,4.1
"34",49,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",3.75,4.3
"35",50,"maennlich",18,"Fach- oder Hochschulabschluss","Student*in",4.875,4.3
"36",52,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",5.25,4.7
"37",53,"weiblich",54,"Fach- oder Hochschulabschluss","Angestellte*r",3.875,3.1
"38",54,"maennlich",55,"Berufsausbildung","Angestellte*r",5.75,5.2
"39",55,"weiblich",53,"Mittlere Reife/Realschulabschluss","Hausfrau/Hausmann",3.375,4.2
"40",57,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",5.25,5
"41",61,"weiblich",54,"Berufsausbildung","Angestellte*r",4.5,3.6
"42",62,"weiblich",21,"Fach-/Allgemeine Hochschulreife","Student*in",4,4.2
"43",64,"weiblich",34,"Fach- oder Hochschulabschluss","Angestellte*r",3.625,3.4
